Date,HomeTeam,AwayTeam,FTR,home_gf_avg_last5,home_ga_avg_last5,home_pts_avg_last5,away_gf_avg_last5,away_ga_avg_last5,away_pts_avg_last5,target
2020-01-11,Newcastle,Everton,H,1.2,1.8,0.6,1.6,1.4,2.0,1
2020-01-11,Aston Villa,Southampton,A,1.2,1.2,1.0,1.6,1.8,1.0,2
2020-01-11,Man United,Arsenal,A,1.8,0.8,1.6,0.0,0.0,0.0,2
2020-01-11,Tottenham,Brighton,H,0.4,2.8,0.2,1.2,1.0,1.6,1
2020-02-11,Fulham,West Brom,H,1.6,1.0,1.8,0.0,2.0,0.2,1
2020-02-11,Leeds,Leicester,A,1.0,1.6,0.4,1.2,2.6,0.4,2
2020-03-10,Newcastle,Burnley,H,2.0,1.0,3.0,1.6,1.2,1.6,1
2020-03-10,Leeds,Man City,D,1.0,4.0,0.0,1.2,1.8,1.0,0
2020-03-10,Everton,Brighton,H,1.0,2.0,0.0,1.0,2.0,0.0,1
2020-03-10,Chelsea,Crystal Palace,H,1.0,1.8,0.4,1.0,0.8,1.6,1
2020-04-10,Wolves,Fulham,H,1.2,1.6,1.0,2.0,0.0,3.0,1
2020-04-10,Southampton,West Brom,H,4.0,3.0,3.0,0.0,2.0,0.0,1
2020-04-10,Man United,Tottenham,A,0.0,1.0,0.0,2.0,1.0,3.0,2
2020-04-10,Aston Villa,Liverpool,H,3.0,4.0,0.0,1.0,2.0,0.4,1
2020-04-10,Leicester,West Ham,A,4.0,1.0,3.0,0.8,1.2,0.8,2
2020-04-10,Arsenal,Sheffield United,H,1.0,0.0,3.0,1.4,0.8,1.6,1
2020-05-12,Man City,Fulham,H,1.0,1.0,1.0,1.0,0.5,1.5,1
2020-05-12,West Ham,Man United,A,3.0,0.0,3.0,0.5,3.5,0.0,2
2020-05-12,Burnley,Everton,D,1.0,3.0,0.0,2.5,2.0,1.5,0
2020-05-12,Chelsea,Leeds,H,4.0,0.0,3.0,1.0,2.5,0.5,1
2020-06-11,Southampton,Newcastle,H,3.0,1.5,3.0,2.5,1.0,3.0,1
2020-06-11,Brighton,Burnley,D,1.5,3.0,0.0,1.0,2.0,0.5,0
2020-06-12,Sheffield United,Leicester,A,1.0,2.0,0.0,2.0,2.0,1.5,2
2020-06-12,Liverpool,Wolves,H,2.0,7.0,0.0,1.0,0.0,3.0,1
2020-06-12,West Brom,Crystal Palace,A,0.0,2.0,0.0,0.0,4.0,0.0,2
2020-06-12,Tottenham,Arsenal,H,4.0,1.0,3.0,1.5,0.5,3.0,1
2020-07-11,Chelsea,Sheffield United,H,3.5,0.5,3.0,1.0,2.0,0.0,1
2020-07-11,Everton,Man United,A,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,2
2020-07-11,Crystal Palace,Leeds,H,2.5,2.5,1.5,1.0,2.6666666666666665,0.3333333333333333,1
2020-07-11,West Ham,Fulham,H,2.0,1.5,1.5,0.6666666666666666,1.0,1.0,1
2020-07-12,Brighton,Southampton,A,1.0,2.0,0.3333333333333333,2.6666666666666665,1.0,3.0,2
2020-08-11,Leicester,Wolves,H,2.0,1.6666666666666667,2.0,0.5,2.0,1.5,1
2020-08-11,Man City,Liverpool,D,1.5,0.5,2.0,3.0,3.5,1.5,0
2020-08-11,Arsenal,Aston Villa,A,1.0,1.0,2.0,5.0,3.0,1.5,2
2020-08-11,West Brom,Tottenham,A,0.3333333333333333,3.0,0.0,3.3333333333333335,0.6666666666666666,3.0,2
2020-11-12,Leeds,West Ham,A,1.0,3.0,0.25,1.6666666666666667,1.0,2.0,2
2020-12-09,Fulham,Arsenal,A,0.5,1.0,0.75,0.75,1.5,1.5,2
2020-12-09,West Ham,Newcastle,A,1.75,1.0,2.25,1.6666666666666667,1.3333333333333333,2.0,2
2020-12-09,Liverpool,Leeds,H,2.3333333333333335,2.6666666666666665,1.3333333333333333,1.0,2.8,0.2,1
2020-12-09,Crystal Palace,Southampton,H,3.0,2.0,2.0,2.5,1.0,3.0,1
2020-12-12,Everton,Chelsea,H,1.75,2.0,1.0,3.6666666666666665,0.6666666666666666,3.0,1
2020-12-12,Man United,Man City,D,1.75,2.25,1.5,1.3333333333333333,0.6666666666666666,1.6666666666666667,0
2020-12-12,Newcastle,West Brom,H,1.75,1.0,2.25,0.25,2.5,0.0,1
2020-12-12,Wolves,Aston Villa,A,0.3333333333333333,1.6666666666666667,1.0,4.333333333333333,2.0,2.0,2
2021-01-01,Everton,West Ham,A,1.6,1.6,1.4,1.4,1.2,1.8,2
2021-01-01,Man United,Aston Villa,H,1.4,1.8,1.4,3.5,1.5,2.25,1
2021-01-03,Everton,Southampton,H,1.4,1.4,1.4,2.0,1.0,2.4,1
2021-01-05,Everton,Aston Villa,A,0.8,1.0,1.4,3.0,1.6,1.8,2
2021-01-05,Chelsea,Fulham,H,2.75,0.75,2.25,0.4,1.4,0.6,1
2021-01-05,Crystal Palace,Man City,A,2.5,1.5,2.25,1.0,0.5,1.5,2
2021-01-05,Brighton,Leeds,H,1.0,2.0,0.25,1.4,2.8,0.2,1
2021-01-11,Wolves,Everton,H,0.25,1.5,0.75,0.8,1.2,1.2,1
2021-01-12,Wolves,Burnley,D,0.6,1.4,1.2,0.6666666666666666,1.3333333333333333,0.6666666666666666,0
2021-01-12,Watford,Chelsea,A,1.4,1.6,1.0,2.6,0.6,2.4,2
2021-01-12,West Ham,Brighton,D,1.0,1.2,1.8,1.2,1.6,0.8,0
2021-01-12,Aston Villa,Man City,A,2.8,1.0,2.4,1.2,0.4,1.8,2
2021-01-12,Everton,Liverpool,A,0.8,1.0,1.2,2.75,2.75,1.75,2
2021-01-12,Southampton,Leicester,D,1.2,0.6,1.8,1.75,1.25,2.25,0
2021-02-01,West Brom,Arsenal,A,0.4,2.4,0.0,1.2,1.2,1.8,2
2021-02-01,Brighton,Wolves,D,1.2,1.4,1.0,0.4,1.4,0.8,0
2021-02-01,Crystal Palace,Sheffield United,H,2.0,1.6,1.8,1.0,2.6666666666666665,0.0,1
2021-02-01,Tottenham,Leeds,H,2.75,0.5,3.0,1.2,3.0,0.0,1
2021-02-02,Man United,Southampton,H,1.8,1.8,2.0,1.2,1.0,1.4,1
2021-02-02,Newcastle,Crystal Palace,A,1.8,1.0,2.4,2.4,0.8,2.4,2
2021-02-02,Wolves,Arsenal,H,1.0,1.2,1.0,1.8,1.2,1.8,1
2021-02-02,Sheffield United,West Brom,H,0.75,2.5,0.0,0.4,2.8,0.0,1
2021-02-03,Man City,Wolves,H,1.4,0.4,2.2,1.4,1.2,1.6,1
2021-02-05,Tottenham,Sheffield United,H,2.8,0.4,3.0,1.0,2.2,0.6,1
2021-02-05,Newcastle,Arsenal,A,1.6,1.2,1.8,1.6,1.4,1.2,2
